Date_UTC,MLT,MLAT,GLON,GLAT
2000-02-07 14:19:00,23.72,65.13,147.89,70.62
2000-02-07 17:44:00,18.27,70.22,351.30,70.90
2000-02-07 19:35:00,7.22,70.28,203.38,71.32
2000-02-07 20:42:00,22.58,64.62,23.53,68.02
2000-02-07 22:17:00,9.86,70.28,203.38,71.32
2000-02-07 23:50:00,23.12,64.85,338.30,64.18
2000-02-08 00:59:00,17.44,77.93,264.15,68.63
2000-02-08 04:09:00,21.28,69.07,265.91,58.76
2000-02-08 10:19:00,22.91,71.22,216.35,70.14
2000-02-08 14:44:00,23.36,70.28,137.71,75.94
2000-02-08 17:01:00,4.78,70.28,203.38,71.32
2000-02-08 17:23:00,5.12,70.28,203.38,71.32
2000-02-08 17:43:00,23.10,68.69,80.70,73.53
2000-02-08 19:57:00,21.76,65.83,20.77,69.06
2000-02-09 03:44:00,1.33,67.82,310.32,62.00
2000-02-09 07:36:00,0.41,77.93,264.15,68.63
2000-02-09 13:53:00,2.71,65.29,212.14,64.87
2000-02-09 16:21:00,21.84,68.69,80.70,73.53
2000-02-09 16:41:00,22.14,68.69,80.70,73.53
2000-02-10 17:39:00,23.04,68.69,80.70,73.53
2000-02-10 18:01:00,23.39,68.69,80.70,73.53
2000-02-10 22:54:00,0.83,66.11,23.70,69.46
2000-02-10 23:26:00,4.67,68.69,80.70,73.53
2000-02-11 04:46:00,2.67,66.08,314.56,61.16
2000-02-11 09:48:00,1.20,67.67,248.07,60.03
2000-02-11 15:14:00,4.53,66.13,220.89,64.05
2000-02-11 23:40:00,22.97,64.86,338.30,64.18
2000-02-12 00:02:00,5.27,68.69,80.70,73.53
2000-02-12 00:30:00,2.18,66.55,18.94,69.66
2000-02-12 01:48:00,1.13,64.86,338.30,64.18
2000-02-12 02:08:00,4.09,67.30,22.22,70.54
2000-02-12 02:28:00,7.78,68.69,80.70,73.53
2000-02-12 05:51:00,5.40,64.86,338.30,64.18
2000-02-12 08:05:00,1.25,60.66,263.96,50.20
2000-02-12 08:40:00,6.67,66.08,314.56,61.16
2000-02-12 09:06:00,0.52,67.67,248.07,60.03
2000-02-12 09:30:00,22.72,66.13,220.89,64.05
2000-02-12 10:07:00,7.80,67.82,310.32,62.00
2000-02-12 10:44:00,3.85,60.66,263.96,50.20
2000-02-12 11:27:00,9.47,66.08,314.56,61.16
2000-02-12 12:56:00,6.24,66.77,265.36,56.38
2000-02-12 13:19:00,9.52,72.89,291.48,63.75
2000-02-12 14:10:00,22.78,70.28,137.71,75.94
2000-02-12 14:37:00,5.30,67.50,238.77,61.76
2000-02-12 16:42:00,5.34,65.29,212.14,64.87
2000-02-12 17:12:00,4.95,70.28,203.38,71.32
2000-02-12 21:09:00,23.10,67.30,22.22,70.54
2000-02-13 08:29:00,0.10,64.53,248.79,56.66
2000-02-13 10:53:00,11.71,77.29,341.37,76.77
2000-02-13 11:50:00,2.48,67.50,238.77,61.76
2000-02-13 12:11:00,2.85,67.50,238.77,61.76
2000-02-13 13:21:00,1.84,66.68,208.45,66.90
2000-02-13 15:27:00,0.74,65.13,147.89,70.62
2000-02-13 15:49:00,2.73,64.98,180.63,68.88
2000-02-13 16:12:00,3.09,64.98,180.63,68.88
2000-02-13 23:39:00,1.57,67.30,22.22,70.54
2000-02-14 00:02:00,1.94,67.30,22.22,70.54
2000-02-14 03:08:00,0.71,67.81,310.32,62.00
2000-02-14 06:45:00,7.43,70.22,351.30,70.90
2000-02-14 07:31:00,22.68,69.53,245.52,62.48
2000-02-14 09:06:00,6.72,70.42,308.27,64.17
